n,m,k,val,t_sol,t
500,5,20,21404.913,1401.40184,1800.230162
500,5,20,21509.95,1190.842065,1802.343776
500,5,20,21715.133,1109.819422,1801.121461
500,5,20,21917.946,1561.298458,1805.588998
500,5,20,21933.676,1589.816893,1804.061852
500,10,20,59329.999,952.996282,1802.723986
500,10,20,61051.134,1673.090878,1802.905483
500,10,20,62157.846,1468.085463,1803.897858
500,10,20,62252.189,1294.164577,1801.246694
500,10,20,62668.389,1129.389127,1805.295026
500,10,20,63118.37,1073.107694,1800.016092
500,10,20,63361.17,899.515849,1802.842054
500,10,20,64247.195,1139.237387,1805.245128
500,10,20,64697.011,1514.196076,1803.823292
500,10,20,66897.722,1227.879929,1810.06155
500,20,20,121733.455,722.392335,1806.762526
500,20,20,124798.781,1097.558635,1802.354624
500,20,20,127808.986,1586.795264,1802.507294
500,20,20,128674.81,1601.740967,1802.354076
500,20,20,129967.366,1662.504558,1808.600604
500,20,20,130359.56,1697.749719,1806.954338
500,20,20,130799.51,1637.71062,1805.79692
500,20,20,131873.173,1634.366278,1809.247886
500,20,20,133564.327,938.617407,1803.978652
500,20,20,135190.787,1277.348959,1807.031473
