n,m,k,val,t_sol,t
50,5,10,27480.65,1406.562823,1800.002643
50,5,10,28134.49,1585.871816,1800.00344
50,5,10,28474.622,1484.513808,1800.006486
50,5,10,28664.727,1151.712089,1800.001567
50,5,10,29530.317,843.744777,1800.003904
50,5,10,29759.339,853.682566,1800.001977
50,5,10,31206.102,1239.506591,1800.000701
50,5,10,31316.656,1583.214717,1800.000673
50,10,10,67183.19,286.082733,1800.009134
50,10,10,67958.656,1134.884579,1800.008678
50,10,10,68484.892,944.023152,1800.002996
50,10,10,69448.661,691.694452,1800.000308
50,10,10,69915.694,144.944016,1800.008826
50,10,10,70253.459,1049.815797,1800.000074
50,10,10,70341.276,1239.73975,1800.000312
50,10,10,70721.499,1430.206552,1800.001167
50,10,10,71877.92,1500.20674,1800.000049
50,10,10,72043.708,1108.868782,1800.001587
50,20,10,108762.878,101.305946,1800.007524
50,20,10,108814,753.011662,1800.010362
50,20,10,110866.382,1530.733256,1800.007099
50,20,10,112973.72,1273.529074,1800.000399
50,20,10,113154.732,670.987296,1800.012061
50,20,10,113473.979,1645.633899,1800.009138
50,20,10,113574.305,1420.524591,1800.006123
50,20,10,114151.475,831.218834,1800.000205
50,20,10,115209.136,1134.891414,1800.015367
50,20,10,115886.777,811.333699,1800.005283
50,2,20,21742.076,2.126653,1800.017146
50,2,20,21742.076,2.493864,1800.003762
50,2,20,21742.076,7.839277,1800.006969
50,2,20,21742.076,33.366581,1800.034502
50,2,20,21742.076,81.937922,1800.007117
50,2,20,21742.076,26.845008,1800.005522
50,2,20,21742.076,20.986672,1800.023132
50,2,20,21742.076,23.961576,1800.027578
50,2,20,21742.076,35.02515,1800.006231
50,2,20,21742.076,10.1784,1800.003323
50,5,20,67120.469,11.453582,1800.001888
50,5,20,67120.469,453.899943,1800.039976
50,5,20,67766.205,128.312482,1800.002011
50,5,20,67766.205,31.570475,1800.00331
50,5,20,67766.205,14.508681,1800.021795
50,5,20,67766.205,98.302843,1800.006169
50,5,20,67766.205,1738.180556,1800.004851
50,5,20,67766.205,145.680861,1800.003523
50,5,20,67766.205,99.906745,1800.013068
50,5,20,68509.056,122.253065,1800.015167
50,10,20,98692.083,131.022237,1800.017561
50,10,20,98692.083,243.422195,1800.002799
50,10,20,99294.828,82.425388,1800.067777
50,10,20,99418.396,301.894113,1800.002887
50,10,20,99420.18,597.211258,1800.013689
50,10,20,99420.18,350.297761,1800.023717
50,10,20,99420.18,56.203849,1800.045217
50,10,20,100000.884,40.641572,1800.006342
50,10,20,100000.884,27.40603,1800.021479
50,10,20,100292.752,506.915648,1800.029016
50,20,20,129602.506,907.951594,1800.006711
50,20,20,131091.726,827.758031,1800.007846
50,20,20,131793.284,850.612965,1800.004994
50,20,20,132467.491,855.074733,1800.016646
50,20,20,132549.766,1101.503789,1800.035261
50,20,20,132746.722,1460.417752,1800.051248
50,20,20,133296.348,736.000136,1800.03755
50,20,20,133458.547,1176.165933,1800.101698
50,20,20,133937.242,1181.758431,1800.103924
50,20,20,135302.687,1298.306501,1800.116283
100,2,5,57.031,1628.119261,1800.002119
100,2,5,60.969,1056.528838,1800.000504
100,2,5,67.144,1606.50128,1800.000221
100,2,5,73.23,1761.332203,1800.001185
100,2,5,73.999,1100.788544,1800.000347
100,2,5,88.953,1775.286695,1800.00155
100,2,5,101.217,1637.326888,1800.000396
100,2,5,104.108,1788.721645,1800.001074
100,2,5,105.1,1528.797109,1800.00183
100,2,5,132.736,1281.344518,1800.000251
100,5,5,6993.374,1499.324885,1800.000314
100,5,5,7739.162,1561.960737,1800.004049
100,5,5,8032.524,1410.776177,1800.003831
100,5,5,8470.077,1611.080475,1800.000997
100,5,5,8666.395,1728.575799,1800.00068
100,5,5,9110.517,1182.130765,1800.001024
100,5,5,9770.568,1118.122875,1800.002008
100,5,5,9865.698,1411.939551,1800.00102
100,5,5,9988.963,1596.89397,1800.00196
100,5,5,10156.046,1607.451454,1800.001568
100,10,5,34251.597,736.297935,1800.004992
100,10,5,38292.247,852.164726,1800.003748
