n,m,k,val,t_sol,t
50,2,10,3403.147,1337.197615,1800.002111
50,2,10,3457.367,1117.160284,1800.000702
50,5,10,26691.985,893.457193,1800.000153
50,5,10,27932.499,581.935977,1800.003784
50,5,10,28506.56,812.808722,1800.003016
50,5,10,29429.227,636.291264,1800.000098
50,5,10,29871.151,500.203869,1800.000319
50,5,10,29976.625,601.274107,1800.001
50,5,10,30313.333,520.31504,1800.003873
50,5,10,30457.709,1149.946794,1800.001887
50,5,10,30624.301,415.085696,1800.00094
50,5,10,33350.211,795.672686,1800.000149
50,10,10,64831.268,1625.512882,1800.004587
50,10,10,68365.238,1241.103302,1800.000173
50,10,10,68847.32,1589.792258,1800.000472
50,10,10,68984.005,1729.826031,1800.001675
50,10,10,69356.416,713.864198,1800.002642
50,10,10,69589.844,791.900498,1800.002007
50,10,10,70588.468,1034.412131,1800.00838
50,10,10,70811.251,1435.11494,1800.005203
50,10,10,71407.823,829.739098,1800.006101
50,10,10,72191.887,1660.51393,1800.004567
50,20,10,108277.56,1564.007646,1800.000116
50,20,10,110735.258,742.634398,1800.003282
50,20,10,110840.388,1516.509055,1800.006907
50,20,10,112572.312,1187.558452,1800.007379
50,20,10,112867.277,513.017682,1800.006454
50,20,10,113566.53,1790.627755,1800.016695
50,20,10,113680.743,1109.528806,1800.000226
50,20,10,113777.038,500.952711,1800.000208
50,20,10,113893.268,427.065056,1800.007035
50,20,10,115595.951,864.914442,1800.003221
50,2,20,16531.666,157.521774,1800.000049
50,2,20,16531.666,900.140141,1800.017814
50,2,20,16531.666,100.941564,1800.026704
50,2,20,16531.666,398.541216,1800.016134
50,2,20,16531.666,281.576859,1800.011295
50,2,20,16531.666,0.944317,1800.000573
50,2,20,16531.666,1142.593792,1800.006323
50,2,20,16531.666,557.643703,1800.005741
50,2,20,16531.666,67.096551,1800.032224
50,2,20,16531.666,36.383416,1800.012583
50,5,20,59055.742,583.607892,1800.000835
50,5,20,59055.742,26.048164,1800.001828
50,5,20,59055.742,196.494163,1800.004337
50,5,20,59061.299,103.758844,1800.012206
50,5,20,59061.299,797.789066,1800.034244
50,5,20,59061.299,540.956341,1800.00057
50,5,20,59386.646,1151.285923,1800.036156
50,5,20,59508.516,536.988938,1800.024209
50,5,20,59508.516,631.389168,1800.042863
50,5,20,59826.469,1049.702314,1800.024749
50,10,20,94405.061,1048.201262,1800.011982
50,10,20,94405.061,1115.085412,1800.055403
50,10,20,94587.118,1042.14982,1800.034319
50,10,20,94587.118,1508.340127,1800.030988
50,10,20,94614.647,338.37897,1800.010396
50,10,20,94614.647,357.760925,1800.039327
50,10,20,94614.647,1192.849004,1800.001868
50,10,20,94614.647,578.758984,1800.048544
50,10,20,95507.779,1116.839344,1800.046515
50,10,20,97381.976,1658.264314,1800.017302
50,20,20,132755.142,562.853373,1800.012045
50,20,20,132755.142,718.336734,1800.042476
50,20,20,133352.18,1289.620742,1800.006217
50,20,20,133669.736,665.665956,1800.016553
50,20,20,133839.097,940.170662,1800.056989
50,20,20,133940.817,1545.059265,1800.07934
50,20,20,134087.89,604.243925,1800.030696
50,20,20,134582.359,1652.211541,1800.06517
50,20,20,134871.92,377.402939,1800.016353
50,20,20,135407.017,821.943216,1800.014056
100,2,5,76.738,1387.457074,1800.001025
100,2,5,77.519,1367.781889,1800.002212
100,2,5,91.091,1728.540012,1800.000043
100,2,5,102.632,1679.461,1800.000026
100,2,5,105.584,1542.734997,1800.001176
100,2,5,117.65,1575.803613,1800.000935
100,2,5,121.599,1656.414191,1800.001186
100,2,5,138.362,1771.664721,1800.000385
100,2,5,154.838,1298.97674,1800.002585
100,2,5,195.086,1372.397948,1800.000065
100,5,5,6894.127,1621.636315,1800.000575
100,5,5,7432.529,1127.230496,1800.001632
100,5,5,8047.98,1570.333143,1800.000646
100,5,5,8521.328,1186.995922,1800.002242
100,5,5,8554.627,1771.481071,1800.001208
100,5,5,9080.823,1611.113923,1800.000396
100,5,5,9372.779,1486.628836,1800.003317
100,5,5,9574.817,1495.599537,1800.001508
100,5,5,10643.081,1264.64519,1800.000761
100,5,5,11114.467,1022.416132,1800.002596
100,10,5,36556.223,1123.835526,1800.001966
100,10,5,38710.371,1509.02573,1800.00273
100,10,5,38719.209,1578.771402,1800.000142
100,10,5,39136.959,1503.190374,1800.00254
100,10,5,39999.041,1205.339826,1800.00004
100,10,5,40419.288,1599.8736,1800.009646
100,10,5,40605.292,1752.868359,1800.001687
100,10,5,42525.751,1411.181828,1800.000385
100,10,5,42825.67,1125.785393,1800.001373
100,10,5,43905.541,1295.937607,1800.002456
100,20,5,85753.556,380.195902,1800.000011
100,20,5,88352.165,1703.96385,1800.003364
100,20,5,88527.159,987.441505,1800.001022
100,20,5,88774.043,470.373959,1800.000489
100,20,5,89900.632,500.677992,1800.00451
100,20,5,90647.423,620.33476,1800.001581
100,20,5,90656.991,104.884289,1800.00287
100,20,5,92943.467,1695.812157,1800.000515
100,20,5,93084.798,946.349455,1800.001402
100,20,5,97338.98,1770.687906,1800.000799
100,2,10,783.701,1771.484311,1800.007181
100,2,10,843.596,1724.722491,1800.002515
100,2,10,852.861,1682.150033,1800.002096
100,2,10,889.055,1595.286803,1800.002166
100,2,10,911.822,1785.147408,1800.002221
100,2,10,990.208,1795.396943,1800.003306
100,2,10,1006.238,1533.467609,1800.006287
100,2,10,1027.831,1685.520466,1800.014498
100,2,10,1033.194,1576.082781,1800.005823
100,2,10,1125.967,1440.205713,1800.001338
100,5,10,20055.435,1689.093963,1800.00248
100,5,10,20506.782,874.604884,1800.000109
100,5,10,20694.499,1584.108535,1800.002446
100,5,10,21202.842,1331.296059,1800.020355
100,5,10,21727.641,1009.106241,1800.001353
100,5,10,21971.571,1608.688311,1800.001439
100,5,10,22290.559,1243.503705,1800.024385
100,5,10,22513.762,954.520683,1800.009769
100,5,10,23386.505,1638.403579,1800.0173
100,5,10,24212.159,625.957323,1800.013657
100,10,10,58453.213,1763.005111,1800.006069
100,10,10,58476.414,1297.651771,1800.014546
100,10,10,58995.5,1620.322823,1800.012106
100,10,10,59352.349,1795.924433,1800.042671
100,10,10,60831.684,1331.581819,1800.016033
100,10,10,61745.518,1138.169468,1800.039241
100,10,10,61828.759,1059.589462,1800.02184
100,10,10,62691.661,1287.068513,1800.047518
100,10,10,63169.021,1508.012592,1800.001345
100,10,10,63398.256,437.562643,1800.01668
100,20,10,102931.108,1681.151007,1800.022516
