n,m,k,val,t_sol,t
50,2,20,16545.145,489.844109,1800.020119
50,2,20,16545.145,591.447006,1800.01139
50,2,20,16545.145,71.271057,1800.001772
50,2,20,16603.949,422.588497,1800.015092
50,2,20,16603.949,4.206882,1800.006564
50,2,20,16603.949,80.750005,1800.001055
50,2,20,16603.949,275.684095,1800.024696
50,2,20,16603.949,109.58285,1800.024192
50,2,20,16603.949,42.830689,1800.003152
50,5,20,62429.313,427.712195,1800.007659
50,5,20,62921.04,102.766102,1800.007927
50,5,20,62985.302,623.873468,1800.006097
50,5,20,62985.302,19.142267,1800.002049
50,5,20,62985.302,88.593015,1800.025036
50,5,20,62985.302,81.525641,1800.002031
50,5,20,63313.054,43.917035,1800.0011
50,5,20,63772.658,265.174392,1800.014654
50,5,20,64397.87,282.137705,1800.011268
50,5,20,65068.776,48.823837,1800.004945
50,10,20,100749.007,1041.940278,1800.021351
50,10,20,100749.007,355.173419,1800.004748
50,10,20,101848.989,739.280145,1800.003407
50,10,20,101854.735,1669.79963,1800.111768
50,10,20,101937.827,528.001332,1800.005978
50,10,20,102095.84,974.770427,1800.001479
50,10,20,102146.335,429.721084,1800.038566
50,10,20,102208.682,1426.68542,1800.010548
50,10,20,103475.712,1023.036378,1800.001761
50,10,20,103662.42,173.341829,1800.03102
50,20,20,133416.51,257.707998,1800.022656
50,20,20,133738.007,603.163067,1800.063299
50,20,20,134089.091,1179.750262,1800.051809
50,20,20,134429.963,1690.33443,1800.009219
50,20,20,134462.153,914.190336,1800.01066
50,20,20,134466.096,1615.497734,1800.009206
50,20,20,134719.629,193.104132,1800.089388
50,20,20,134770.359,174.497296,1800.00705
50,20,20,135524.485,220.819295,1800.020597
50,20,20,135694.299,542.795649,1800.019843
100,2,5,81.188,1787.456171,1800.001522
100,2,5,85.008,653.000181,1800.002015
100,2,5,92.602,1215.768966,1800.000003
100,2,5,99.448,960.86959,1800.00279
100,2,5,104.563,1301.589168,1800.001247
100,2,5,113.169,1231.903906,1800.000153
100,2,5,119.06,1776.323378,1800.000556
100,2,5,123.447,856.911563,1800.000321
100,2,5,129.491,407.735211,1800.000655
100,2,5,185.704,1529.646238,1800.000077
100,5,5,6823.14,757.479877,1800.001209
100,5,5,6900.117,1714.601973,1800.00044
100,5,5,9191.228,700.640057,1800.001253
100,5,5,9213.472,957.870338,1800.0006
100,5,5,9410.535,1033.725477,1800.002112
100,5,5,9741.769,99.45815,1800.00064
100,5,5,10028.906,1711.286163,1800.001796
100,5,5,10101.043,270.222297,1800.00169
100,5,5,10730.605,1486.608315,1800.004432
100,5,5,10759.351,468.711879,1800.001968
100,10,5,36725.565,591.18817,1800.000704
100,10,5,38078.484,918.529923,1800.003949
100,10,5,38106.15,862.413964,1800.00158
100,10,5,38755.555,1072.14265,1800.00658
100,10,5,39046.39,1259.166757,1800.007474
100,10,5,39125.615,1775.048913,1800.008518
100,10,5,39812.92,542.840713,1800.005134
100,10,5,40036.179,1567.520813,1800.002742
100,10,5,40884.959,1500.314204,1800.004845
100,10,5,42487.046,1160.759843,1800.000714
100,20,5,89018.193,217.181269,1800.000848
100,20,5,89478.851,1257.753328,1800.000621
100,20,5,90591.088,793.340731,1800.001539
100,20,5,92057.93,1114.573086,1800.003703
100,20,5,92296.149,584.679345,1800.000649
100,20,5,92421.541,621.182206,1800.000165
100,20,5,92748.031,221.284596,1800.00012
100,20,5,95916.719,428.529405,1800.002942
100,20,5,96709.541,82.320315,1800.002609
100,20,5,97085.517,31.707289,1800.000316
