n,m,k,val,t_sol,t
100,5,10,19416.93,1312.637543,1800.008048
100,5,10,20008.201,1736.313773,1800.010061
100,5,10,20157.825,1742.195554,1800.004227
100,5,10,20593.343,1656.436173,1800.003978
100,5,10,21292.845,1791.999311,1800.008
100,5,10,21721.781,781.044813,1800.00678
100,5,10,22421.664,1154.125421,1800.007698
100,5,10,22588.116,1425.612637,1800.009304
100,10,10,53626.615,1589.51451,1800.066133
100,10,10,55318.38,723.110538,1800.033426
100,10,10,59009.305,1749.468123,1800.027432
100,10,10,59339.034,1671.932193,1800.003153
100,10,10,59739.653,947.957917,1800.016044
100,10,10,59885.702,1085.899975,1800.000008
100,10,10,60823.584,999.186729,1800.040623
100,10,10,61017.395,1695.83761,1800.030049
100,10,10,61712.046,1795.717149,1800.013351
100,10,10,63844.812,681.839054,1800.004013
100,20,10,108301.13,886.243909,1800.002659
100,20,10,108335.072,1704.473746,1800.062087
100,20,10,108940.106,165.967132,1800.017447
100,20,10,109055.675,643.700568,1800.031277
100,20,10,109761.953,684.136451,1800.093526
100,20,10,111254.682,391.511745,1800.013256
100,20,10,115391.817,584.540761,1800.082423
100,20,10,116281.853,1238.680475,1800.051591
100,20,10,116488.777,1748.204184,1800.005825
100,20,10,117582.198,322.993377,1800.017507
100,2,20,2577.082,1445.018114,1800.005238
100,2,20,2948.469,1374.293277,1800.040327
100,2,20,3083.729,1535.228329,1800.015045
100,2,20,3219.62,782.061899,1800.007372
100,2,20,3324.314,1377.963389,1800.059058
100,2,20,3336.655,1620.263658,1800.034068
100,2,20,3445.413,1745.495567,1800.002426
100,2,20,3559.504,1162.273247,1800.011746
100,2,20,3734.091,1627.162509,1800.032109
100,2,20,3803.194,1670.708869,1800.020496
100,5,20,30977.84,1069.176183,1800.035856
100,5,20,32311.944,724.076081,1800.204367
100,5,20,32462.89,996.141384,1800.004521
100,5,20,33504.287,1348.345084,1800.058509
100,5,20,34127.815,1629.04293,1800.14699
100,5,20,34288.246,1620.596984,1800.001803
100,5,20,34602.724,1545.781421,1800.148527
100,5,20,35463.006,1652.632227,1800.131103
100,5,20,35912.204,1638.20825,1800.080665
100,5,20,36623.317,1413.768155,1800.112216
100,10,20,73924.246,1550.000668,1800.01112
100,10,20,74244.505,1765.607061,1800.156229
100,10,20,75091.44,1043.500676,1800.030304
100,10,20,75164.46,1064.143751,1800.042304
100,10,20,75854.614,1493.664422,1800.075065
100,10,20,75923.28,1021.081245,1800.022501
100,10,20,77584.694,667.015941,1800.003691
100,10,20,77691.932,1581.274443,1800.276521
100,10,20,77767.879,1121.187491,1800.042156
100,10,20,79968.319,625.499814,1800.002519
100,20,20,118053.586,1006.539598,1800.393959
100,20,20,120204.861,1040.855027,1800.122663
100,20,20,120990.089,1093.534079,1800.160455
100,20,20,122697.143,802.039917,1800.574478
100,20,20,123002.776,941.751162,1800.227094
100,20,20,123216.213,1466.712232,1800.12075
100,20,20,123313.028,948.741289,1800.059753
100,20,20,123853.788,1213.678074,1800.040433
100,20,20,125330.459,477.551443,1800.008233
100,20,20,126391.487,1508.743983,1800.011029
500,2,5,68.338,525.02505,1800.057144
500,2,5,74.705,1186.249971,1800.00177
500,2,5,81.588,1280.151402,1800.016534
500,2,5,84.468,1566.332495,1800.058844
500,2,5,87.324,1444.869529,1800.095351
500,2,5,89.257,1429.064066,1800.014119
500,2,5,102.894,1315.087481,1800.048848
500,2,5,103.037,847.765405,1800.002289
500,2,5,108.427,1452.815333,1800.066603
500,2,5,113.657,770.372022,1800.069832
500,5,5,5908.32,1382.382933,1800.087189
500,5,5,6275.294,817.633164,1800.153087
500,5,5,6280.597,740.138783,1800.021988
500,5,5,6567.075,942.678389,1800.082297
500,5,5,7450.758,1723.52111,1800.078775
500,5,5,7653.276,1026.185696,1800.087925
500,5,5,7690.412,1536.730998,1800.101682
